Grid,Name,Sector,Affiliation,Suns,Moons,Population,Climate,Terrain
G-16,B'Knos,,,Abran,,,,
G-16,G'rho,,Ssi-ruuvi Imperium,,,,,
G-16,Kammia,,Galactic Empire,,,,,
G-16,Bakura,Bakura,,,,,,
G-16,Cattamascar,Bakura,,,,,,
G-16,Gymelo,Bakura,,,,,,
G-16,Timora,Bakura,,,,,,
G-16,Mokivj,Pacanth Reach,,,,,,
G-16,Ovanis,Pacanth Reach,,,,,,
G-16,Plood,Pacanth Reach,,,,,,
G-16,Yakorki,Pacanth Reach,,,,,,
G-20,Lupal,,,1,,,Inhospitable,
Q-10,Red,Nebula,,,,,,
H-5,Rarlech,,,,,,,
H-6,Durace,,New Republic,1,0,,Barren Stormy Toxic,Caverns Sharp rocks Toxic seas Volcanic mountains
H-6,Flacharia,,,,,,,
H-6,Lost Murvey,,,,,,,
M-16,Parnassos,,Con Star Mining Corporation,,,,,Cliffs Plateaus Spires of black rock Caves Desert
H-6,UR-2212-GR,,,,,,,
H-7,Brask Oto,,Chiss Ascendancy,,,,,
H-7,Dassal,,,,,,,
H-7,Dromondar Beta,,,,,,,
H-7,Fhost,,,,,,,
H-7,Griq,,,,,,,
H-7,Qoribu,,,1: Gyuel,55 Eyyl Jwlio Kr Nrogu Ruu Zvbo,,,Gas giant
H-7,Snevu,,Iesei colony,,,,,
H-7,UR-5292-FH,,,,,,,
H-7,Volik,,Vekanda Leisure Colonies Jedi Sith,,2,,Temperate,Canyons Grasslands Mountains Waterfalls
H-7,Yoggoy,,The Colony,,,,,
H-7,Redoubt,The,,,,,,
H-8,Crustai,,Chiss Ascendancy,,,,,
H-8,Forbelea,,,,,,,
H-8,Kro Var,,Shapers of Kro Var,,,,,Barren
H-9,Kharmort's Miasma,,,,,,,
K-12,Vagar Praxut,,Infinite Empire,,,,,
H-10,Endovar (Terrabe),,,,,,,
H-10,Filata,,,,,,,
H-10,Jedha (Terrabe),,,,,,,
H-11,Ruhnuk,,Gatressa Mining Conglomerate Hidden Chain,,,,Arid,Rocky Mountains Desert Canyons
H-12,Queluhan,Nebula,Galactic Empire Queluhan Nebula Imperial remnant,,,,,
H-13,Freerock,,,,,,,
H-13,O'reen,,Galactic Republic,,2,98% O'reenians 2% other species,Foggy Temperate,Mesas Plateaus
H-14,Bormter,,Delurin's empire,,,,,
H-14,Gabdor,,,,,,Wet,
H-14,Ikari,,,,,,,
H-14,Iskallon,,,,,,,
H-14,Luminous Magnificence,,Sovereign Latitudes of Maracavanya,,,,,
H-14,Pion,,,,,,,
H-14,Xala,,,,At least one,,,
H-15,Adratharpe,,,,,,,
H-15,Beixander,,,,,,,Hills Oceans
H-15,Codia,,,,,,,
H-15,Descopose Farmark,,,,,,,
H-15,Gwar,,Galactic Empire,,,,,
H-15,Klytus,,,,,,,
H-15,Meria,,,,,,,
H-15,Pam'ba,,,,,,Warm,Marshlands Mountains
H-15,Argoba,Trilon,,,,,,
H-15,GUHL-J03870,Trilon,,,,,,
H-15,Gannaria,Trilon,,,,,,
H-15,Zaddja,Trilon,,,,,,
H-15,Zav Alox,Trilon,,,,,,
H-16,Abbaji Zuma (Spar),,,,,,,
K-20,Fusai Zuma (Fusai),,,,,,,
H-16,Nibiru Zuma (Kakani),,,,,,,
H-16,Ponemah Zuma (Spar),,,,,,,
H-16,Shalm Zuma (Ikenomin),,,,,,,
H-16,Xal Zuma (Ablajeck),,,,,,,
H-16,Cermau,Bakura,,,,,,
H-16,Bunduki,Pacanth Reach,,,,,,
H-16,Fornow,Pacanth Reach,,,,,,
H-16,Panatha,Pacanth Reach,,,,,,
H-16,Ravaath,Pacanth Reach,,,,,,
H-16,Sorimow,Pacanth Reach,,,,,,
H-16,Aludia,Trilon,,,,,,
H-16,Chardis,Trilon,,,,,,
H-16,Rattatak,Trilon,,,,,,
H-16,Annaj,Zuma (Moddell),,,,,,
H-16,Ast Kikorie,Zuma (Moddell),,,,,,
H-16,Din Nebula,Zuma (Moddell),,,,,,
H-16,Din Pulsar,Zuma (Moddell),,,,,,
H-16,Endor Gate,Zuma (Moddell),,,,,,
H-16,Endor,Zuma (Moddell),,,,,,
H-16,Kuna's Eye,Zuma (Moddell),,,,,,
H-16,Kuna's Fist,Zuma (Moddell),,,,,,
H-16,Kuna's Horn,Zuma (Moddell),,,,,,
H-16,Kuna's Tail,Zuma (Moddell),,,,,,
H-16,Kuna's Tooth,Zuma (Moddell),,,,,,
H-16,Maya Kovel,Zuma (Moddell),,,,,,
H-16,Monsua Nebula,Zuma (Moddell),,,,,,
H-16,Murk,Zuma (Moddell),,,,,,
H-16,Ovise,Zuma (Moddell),,,,,,
H-16,Qina,Zuma (Moddell),,,,,,
H-16,Sanyassa,Zuma (Moddell),,,,,,
H-16,Thonner,Zuma (Moddell),,,,,,
H-16,Trindello,Zuma (Moddell),,,,,,
H-16,UR-1060,Zuma (Moddell),,,,,,
H-16,UR-2650,Zuma (Moddell),,,,,,
H-16,UR-3741,Zuma (Moddell),,,,,,
H-16,UR-8827,Zuma (Moddell),,,,,,
H-16,UR-9353,Zuma (Moddell),,,,,,
H-16,Vasha,Zuma (Moddell),,,,,,
H-16,Vex,Zuma (Moddell),,,,,,
H-16,Zorbia,Zuma (Moddell),,,,,,
H-16,Firrerre,Zuma (Sugai),,,,,,
H-16,Houche,Zuma (Sugai),,,,,,
H-16,Karthon,Zuma (Sugai),,,,,,
H-16,Necropolis,Zuma (Sugai),,,,,,
H-16,Rodis,Zuma (Sugai),,,,,,
H-16,Tharl,Zuma (Sugai),,,,,,
H-17,Benkal,,,,,,,
H-17,Bursoll,,,,,,,
H-17,Salaniss,,,,,,,Barren
H-17,Spunchina,,,,,,,
H-17,Tholon,,,,,,,Rock
H-17,Caaraz,Stensen,,,,,,
H-17,Magar's World,Stensen,,,,,,
H-17,Verkuyl,Stensen,,,,,,
H-18,Morak,,Galactic Empire Morak Imperial remnants,,,,,Mountains Rainforests
H-18,NCW-781,,,,At least 1,,,Canyons Mountains Woods
H-18,Vengler,,,,,,,
H-18,Void of Aogros,,,,,,,
H-18,Quintarad,The,,,,,,
H-19,Mulita,,,1,,,,Forests Rocky
H-19,Port Nowhere,,Hutt Cartel Eternal Alliance,,,,,
H-19,Unnipar,,,,,,,
H-19,Barraken,Varada,,,,,,
H-19,Koboh Abyss,Varada,,,,,,
H-19,Koboh,Varada,,,,,,
H-19,Skye,Varada,,,,,,
H-19,Talor,Varada,,,,,,
H-19,Tanalorr,Varada,,,,,,
H-20,Crytal Nest,,,,,,,
H-20,Dosuun,,Imperial Remnant,,,None,,Forests Grasslands Lakes Mountains
H-20,Seoul,,,,,,,
H-20,Weik,,Paladins of the Adamite Tower,,At least 1,"260,000,000: 58% Human 14% Twi'lek 11% Duros 9% Zabrak 8% Lannik",Mild summers Freezing winters,Desert wastelands Forests Mountains Plains
H-20,Baralou,Varada,,,,,,
I-4,Obus,,Alliance to Restore the Republic,1: Oba,1,62,Searing hot,Mountains Rocky plains Volcanoes
I-4,Teptixii,,,,,,,
I-5,Braccio,,,,,,,
I-5,GH-531,,Galactic Empire First Order,,,,,
I-5,Gradilis Rift,,,,,,,
I-5,Nirauan,,,,,,,
I-5,Oristrom,,Nuso Esva's realm Empire of the Hand,,,,,
I-5,Pashvi,,Crimson Dawn,,,,,
I-5,Quethold,,Nuso Esva's realm,Several stars,,,,
I-5,Tantsor,,,,,,,
I-6,Asteph'skaff,,,,,,,
I-6,Esfandia,,,,,,,
I-6,Frunchettan,,,,,,,
I-6,Kariek,,Empire of the Hand,,,,,
I-6,Lakra,,,,,,,
I-6,Taloron,,,,,,,
I-6,Thuna,,,,,,,
I-6,Veroleem,,Cult of Veroleem,,At least 2,,Arid,
I-6,Ansion,Churnis,,,,,,
I-6,Dbari,Churnis,,,,,,
I-6,Malari,Churnis,,,,,,
I-6,Namadii,Churnis,,,,,,
I-7,Ankus,,,,,,,
I-7,Benath,,Galactic Empire First Order,,,,,Rocky
I-7,Bloxia,,,,,,,
I-7,Burska,,Galactic Republic New Republic,,,,Cold (in winter ) Frequent hail,Caves Tundra
I-7,Koke Frost,,,,,,,
I-7,Koshaga,,Galactic Empire,,,,,
I-7,Ledeve,,Jedi Order,1,,,,Jungles
I-7,Murgo,,,,,,,
I-7,Regel,,,,,,,
I-7,Reo (Maraqoo),,,,,,,
I-7,Tehar,,,,,,,
I-7,Trinith Mondress,,,,,,,
I-7,Voniss,,,,,,Dust storms,
I-7,Yoturba,,,,,,,
I-7,Evas,Belshar,,,,,,
I-7,Gilatter,Churnis,,,,,,
I-7,Masgen,Churnis,,,,,,
I-7,Valashar,Churnis,,,,,,
S-3,Crintlia,Outer Jalor,,,,,,
I-7,Kril'Dor,Outer Jalor,,,,,,
I-7,Marasaln,Outer Jalor,,,,,,
I-7,Zelaba,Outer Jalor,,,,,,
I-7,Ma'alkerr,Rago,,,,,,
I-7,Moro,Rago,,,,,,
I-7,Rago,Rago,,,,,,
I-7,Sinton,Rago,,,,,,
I-7,Vadran,Rago,,,,,,
I-7,Vixnix,Rago,,,,,,
I-7,Red Twins,The,,,,,,
I-8,Celdaru,,,,,,,
I-8,Dhandu,,,,"At least 3, including Dhandu 3",,,
I-8,Escabar,,New Republic,,,,,Deserts
I-8,Gargolyn,,,,,,,
I-8,Geroon,,Vagaari Empire,Geroon's sun,,,,
I-8,Kilia,,,,,,,
I-8,Lysatra,,,,,,,
I-8,Mendicat,,,,,,,
I-8,Pesitiin,,,,,,,
I-8,Roxuli,,,,,,,Dusty mountains
I-8,Sarm,,,,,Uninhabited after the Utegetu Nova,,Barren
I-8,Tenupe,,Killiks Chiss Ascendancy,1,Shattered Moon,Less than 1 million,,Jungles Mountains Valleys
I-8,Thedavio,,,,,,,
I-8,Tusken's Eye,,,,,,,
I-8,Valtava Valtava,,,,,,,
I-8,Valtos,,,,,,,Rocky
I-8,Wizar,,,1,,,,
I-8,Woteba,,Dark Nest,,,less than 1 million,,Hamogoni forests Swamps
I-8,Kur,Minor,,,,,,
I-8,Utegetu,Nebula,,,,,,
I-8,Horob,Vardoss,,,,,,
I-9,Fentersohn,,,,,,,
I-9,Seluket,,,,,,,
I-9,Selvaris,,Yuuzhan Vong empire,2,1,12.25 billion,,Oceans Forests Jungles
I-9,Tonnis Tonnis,,,,,,,
I-10,Ianane,,,,,,,
I-10,Iol,,Tangan Industries,,0,,None,Urban Lifeless desert
I-11,Adrathorpe,,,,,,,
I-13,Aostai,,,,,,,
I-13,Jakku,,Galactic Empire First Order,1,2,"Unknown (Less than 25,000)",Arid; hot days with cold nights,Modern: Deserts Historic: Forests Seas
I-13,Minfar,,,,,,,Jungles Mountains
I-14,Aruza,,,,,,,
I-14,Frewwil,,Galactic Empire,,,,,
I-14,Genetia,,,,7,,,
I-14,Jedd,,,,,,,
I-14,Kakra,,,,,,,Rocky Volcanic
I-14,Lequabis,,,,,,,
I-14,Malian,,,,,,,
I-14,Mannius,,,,,,,
I-14,Orroman,,,,,,,
N-6,Vesla,Minor,,,,,,
I-15,Aesolian,,,,,,,
I-15,Critonia,,,,,,,
I-15,Kayri,,,,,,,
I-15,Nopsin,,Galactic Empire,,,,,
I-15,Sahbrontee,,,,,,,
I-15,Sarq,,,,,,,
I-15,Taloraan,,,,,,,
I-15,Lower Flora,Cloud,,,,,,
I-15,Delphidian,Cluster,,,,,,
I-15,Tarolax,Jidlor Marches,,,,,,
I-15,Gangxi,Station,,,,,,
I-16,Aurimaus,,,,,,,
I-16,Barabesh,,,,,,,
I-16,Jaymir,,,,,,,
I-16,Mhatma,,,,,,Cold,
I-16,Qaras (Minyavi),,,,,,,
I-16,Cedonne,Dononter,,,,,,
I-16,Dlor,Dononter,,,,,,
I-16,Dononter Minor,Dononter,,,,,,
I-16,Chankin,Jidlor Marches,,,,,,
I-16,Farfax,Marzoon,,,,,,
I-16,Marzoon,Marzoon,,,,,,
I-16,Salstan,Marzoon,,,,,,
I-16,Xoemefel,Marzoon,,,,,,
I-16,Asterios,Narrant,,,,,,
I-16,Kartoosh,Narrant,,,,,,
I-16,Meruud,Narrant,,,,,,
I-16,Toledian,Narrant,,,,,,
I-16,Adinax Nebula,Semagi,,,,,,
I-16,Cerea,Semagi,,,,,,
I-16,Cheelit,Semagi,,,,,,
I-16,Cousault,Semagi,,,,,,
I-16,Dohnia,Semagi,,,,,,
I-16,Dolva Prime,Semagi,,,,,,
I-16,Duron,Semagi,,,,,,
I-16,Hyborea,Semagi,,,,,,
I-16,Semag,Semagi,,,,,,
I-16,Ghothia,Stensen,,,,,,
I-16,Stensen's Colony,Stensen,,,,,,
I-16,Trenwyth,Stensen,,,,,,
I-16,Castilon,Tashtor,,,,,,
I-16,Chalcedon,Tashtor,,,,,,
I-16,Manakron,Tashtor,,,,,,
I-16,Nelgenam,Tashtor,,,,,,
I-16,Neskar,Tashtor,,,,,,
I-17,Bri'ahl,Bri'ahl,,,,,,
I-17,Elphrona,Bri'ahl,,,,,,
I-17,Kalzeron,Bri'ahl,,,,,,
I-17,Lanteeb,Bri'ahl,,,,,,
I-17,Mearalis,Bri'ahl,,,,,,
I-17,New Valis,Bri'ahl,,,,,,
I-17,Stygmarn,Bri'ahl,,,,,,
I-17,Tenoo,Bri'ahl,,,,,,
I-17,Wasco,Bri'ahl,,,,,,
I-17,Corbett Cluster,Corbett,,,,,,
I-17,Kaelinn,Corbett,,,,,,
I-17,Reamma,Corbett,,,,,,
I-17,Taronda,Corbett,,,,,,
I-17,Bastooine,Graador,,,,,,
I-17,Graador,Graador,,,,,,
I-17,Hradreek,Graador,,,,,,
I-17,Shosho,Graador,,,,,,
I-17,Vorkaa,Graador,,,,,,
I-17,Chibbier,Stensen,,,,,,
I-17,Elatha,Stensen,,,,,,
I-17,Federian,Stensen,,,,,,
I-17,Hudalla,Stensen,,,,,,
I-17,Molos,Stensen,,,,,,
I-17,Rina Major,Stensen,,,,,,
I-17,Sareet,Stensen,,,,,,
I-17,Dorriella,Wazta,,,,,,
I-17,Hassaria,Wazta,,,,,,
I-17,Lotho Minor,Wazta,,,,,,
I-17,Malpaz,Wazta,,,,,,
I-17,Ryoone,Wazta,,,,,,
I-17,Uro,Wazta,,,,,,
I-17,Vassek,Wazta,,,,,,
I-18,Radhii,,Galactic Empire,,,,,Canyons Jungles
I-18,Brint-wo,Koradin,,,,,,
I-18,Coveway,Koradin,,,,,,
I-18,Kobal's World,Koradin,,,,,,
S-16,Kovor,Koradin,,,,,,
I-18,Lipsec,Koradin,,,,,,
I-18,Ostor,Koradin,,,,,,
I-18,Samovar,Koradin,,,,,,
I-18,Shuraden,Koradin,,,,,,
I-18,Sump,Koradin,,,,,,
I-18,Talpiddi,Koradin,,,,,,
I-18,Virgillia,Koradin,,,,,,
I-18,Lafete,Tunka,,,,,,
I-18,Niran,Tunka,,,,,,
I-18,Usean,Tunka,,,,,,
I-18,Koda Space Station,Wazta,,,,,,
I-18,Thune,Wazta,,,,,,
I-19,Antine,,,,,,,
I-19,Sakavi Tar,,,,,,Frozen,Frozen tundra over planetary ocean
I-19,Absit,Tunka,,,,,,
I-19,Orinca,Tunka,,,,,,
I-19,Thakwaa,Tunka,,,,,,
I-19,Veccacopia,Tunka,,,,,,
I-19,Dalna,Tunka (Dalnan),,,,,,
I-19,Eiram,Tunka (Dalnan),,,,,,
P-3,Haileap,Tunka (Dalnan),,,,,,
I-19,Bestal,Varada,,,,,,
I-19,Delantine,Varada,,,,,,
I-19,Dentamma Nebula,Varada,,,,,,
I-19,Rhamalai,Varada,,,,,,
I-19,Varada,Varada,,,,,,
I-19,Yamradi,Varada,,,,,,
I-20,Genosha,,,,,,,
I-20,Kalastar,,,,,,,
I-20,Lost Clusters,,,,,,,
I-20,Mareg,,,,,,,
I-20,Needan,,,1,,,Cold,Jungle
I-20,Unguule,Nebula,,,,,,
I-20,Clar,The,,,,,,
I-20,Dyspeth,Varada,,,,,,
I-21,Yalara,,Imperial Remnant,,,,,Desert
J-3,Eckless,,,,,,,
J-3,Lew'el,,,,,,,Aquatic
J-3,Orinackra,,Galactic Empire,,,,,
J-3,Qonto,,,,,,,
J-3,Taspir Dynali,,,,,,,
J-3,Xerton,,,,,,,
J-3,Kindlabethia,Braxant,,,,,,
J-3,Lokondo,Braxant,,,,,,
J-3,Rimcee Station,Braxant,,,,,,
J-3,Dolis,Obtrexta,,,,,,
J-4,Huk,,,,,,,Barren
J-4,Kalee,,,,,,,
J-4,Oben,,,,,,,
J-4,Ord Thoden Dynali,,,,,,,
J-4,Tovarskl,,,,2,,,Fire-grass plains
J-4,Baramorra,Carrion,,,,,,
J-4,Delephr,Carrion,,,,,,
J-4,Gelda,Carrion,,,,,,
J-4,Sojourn,Carrion,,,,,,
J-4,Vexta,Carrion,,,,,,
J-4,Zin Taal,Carrion,,,,,,
J-4,Dactruria,Clacis,,,,,,
J-4,Brodo Asogi,Perinn,,,,,,
J-4,Cantras Gola,Perinn,,,,,,
J-4,G'haris,Perinn,,,,,,
J-4,Gandrossi,Perinn,,,,,,
J-4,New Parsh,Perinn,,,,,,
J-4,Ottinger,Perinn,,,,,,
J-4,Parshoone,Perinn,,,,,,
J-4,Son-tuul,Perinn,,,,,,
J-4,Valc,Perinn,,,,,,
J-4,Bettok,Velcar,,,,,,
J-4,Bextar,Velcar,,,,,,
J-5,Alashan,,A culture Darth Krayt's Galactic Empire,,3,Less than 1 million,,
J-5,Aynaboni,,,,,,Tropical,Islands with jungle Ocean
J-5,Betal,,,,,,,
J-5,Carnelion,,Closed Open,,,,,Icy mountains
J-5,Derosha,,,,,,,
J-5,Didyma,,,,,,,
J-5,Kuratooine,,,,2 Tildin,,,
J-5,Kynachi,,KynachTech Industries Trade Federation Confederacy of Independent Systems,,,,Temperate ; rainy,
J-5,Pkori,,,,,,,
J-5,Poln (Candoras),,,,,,,
J-5,Spillwater (Candoras),,,,,,,
J-5,Bid'jerma,Prefsbelt,,,,,,
J-5,Brunet,Prefsbelt,,,,,,
J-5,Comra,Prefsbelt,,,,,,
J-5,Khonji,Prefsbelt,,,,,,
J-5,Marquarra,Prefsbelt,,,,,,
J-5,Tevel,Prefsbelt,,,,,,
J-5,Yan Korelda,Prefsbelt,,,,,,
J-5,Marcelan,Prime,,,,,,
J-5,Churruma,Velcar,,,,,,
J-5,Endex,Velcar,,,,,,
J-5,Lenahra,Velcar,,,,,,
J-5,Routh,Velcar,,,,,,
J-5,Ryloon,Velcar,,,,,,
J-6,Adumar,,,,,,,
J-6,Aeten,,,,,,,Volcanic
J-6,Diab,,,,At least six moons : Diab 6,,,
J-6,Kamil,,First Order,2,,,,Desert
J-6,Ariarch-17,Ariarch,,,,,,
J-6,Dalron,Ariarch,,,,,,
J-6,Keitum,Ariarch,,,,,,
J-6,Parliock,Ariarch,,,,,,
J-6,Bars Barka,Barsa,,,,,,
J-6,Quadrant Seven,Barsa,,,,,,
J-6,Trydara,Barsa,,,,,,
J-6,Uba,Barsa,,,,,,
J-6,Ubertica,Barsa,,,,,,
J-6,Varvva,Barsa,,,,,,
J-6,Alderbathe,Churnis,,,,,,
J-6,Bardelberan,Churnis,,,,,,
J-6,Great Forveen Nebula,Churnis,,,,,,
J-6,Tsukimitsurin,Churnis,,,,,,
J-6,Arah,Dantus,,,,,,
J-6,Cirrus,Dantus,,,,,,
J-6,Dontamo,Dantus,,,,,,
J-6,Dreighton,Dantus,,,,,,
J-6,Dreighton Nebula,Dantus,,,,,,
J-6,Ganlihk,Dantus,,,,,,
J-6,Harridan,Dantus,,,,,,
J-6,Herrik,Dantus,,,,,,
J-6,Hoogon,Dantus,,,,,,
J-6,Imdaar,Dantus,,,,,,
J-6,Jiran,Dantus,,,,,,
J-6,Kobbahn,Dantus,,,,,,
J-6,Oracaia,Dantus,,,,,,
J-6,Sorl,Dantus,,,,,,
J-6,Spalex,Dantus,,,,,,
J-6,Troska,Dantus,,,,,,
J-6,Drompani,Prefsbelt,,,,,,
J-6,Hadros,Prefsbelt,,,,,,
J-6,Nosken,Prefsbelt,,,,,,
J-7,Carvandir Carvandir,,,,,,,
J-7,Londor Londori,,,,,,,
J-7,Mondress Mondress,,,,,,,
J-7,Belshar Othacuu,Belshar,,,,,,
J-7,Nora,Belshar,,,,,,
J-7,Ord Varee,Belshar,,,,,,
J-7,Darkon,Chaama,,,,,,
J-7,Logal Ri,Chaama,,,,,,
J-7,Shu-Torun,Chaama,,,,,,
J-7,Kalaan,Churnis,,,,,,
J-7,Rustibar,Churnis,,,,,,
J-7,Myomar,Deadalis,,,,,,
J-7,Altarrn,Glythe,,,,,,
J-7,Fef,Glythe,,,,,,
J-7,Feldrona,Glythe,,,,,,
J-7,Fornax,Glythe,,,,,,
J-7,Iridia,Glythe,,,,,,
J-7,Iridonia,Glythe,,,,,,
J-7,Laakonis,Glythe,,,,,,
J-7,Lorista,Glythe,,,,,,
J-7,Pugal,Glythe,,,,,,
J-7,Valrar,Glythe,,,,,,
J-7,Galmerah,Jalor,,,,,,
J-7,Glee Anselm,Jalor,,,,,,
J-7,Hallitron,Jalor,,,,,,
J-7,Jaloria,Jalor,,,,,,
J-7,Vaced,Jalor,,,,,,
J-7,Bezim,Vorc,,,,,,
J-7,Junction,Vorc,,,,,,
J-7,Station 88,Vorc,,,,,,
J-7,Vicondor,Vorc,,,,,,
J-8,Aramal Ryborean,,,,,,,
J-8,Arashar,,Galactic Empire,,,,,
J-8,Belassar Sarla,,,,,,,
J-8,Bengat,,Galactic Empire,,,,,Oceans
J-8,Bilbringi,,,,,,,
J-8,Fyrth,,,,,,,
J-8,Loth,,,,,,,
J-8,Meglumine,,Galactic Republic Galactic Empire,,,,,
J-8,Neshei Neshei,,,,,,,
J-8,Pheryon,,,,,,Stormy,Floating islands
J-8,Rafft,,,,,,,
J-8,Reecee,,,,,,,
J-8,Riosa,,Galactic Empire New Republic,,,,,
J-8,Rondai,,,,,,,
J-8,Ryborea Ryborean,,,,,,,
J-8,Soun,,,,,,,
J-8,XT987,,,,,None (Uninhabited),,
J-8,Coth Fuuras,Deadalis,,,,,,
J-8,Dorin,Deadalis,,,,,,
J-8,Oaka,Prime,Infinite Empire,,,,,
J-8,Hijo Hijoian,Space,,,,,,
J-8,Ichalin Station Hijoian,Space,,,,,,
J-8,Kashir,Vardoss,,,,,,
J-8,Vardoss,Vardoss,,,,,,
J-9,Batorine,,Galactic Republic,,,,Temperate,Forests
J-9,Bestoon,,,,,,,
J-9,Boiyuh,,,,,,,
J-9,Dreffon,,,,,,,
J-9,Galagolos,,,,,,Humid,Swamp
J-9,Gwongdeen,,,,,,,Biological sea
J-9,Horska,,Imperial Remnant,,,,,
J-9,Lontar,,,,,,,
J-9,Mangan,,,,,,,
J-9,Muldore,,,,,,,
J-9,Thrantin Ollonir Boundaries,,,,,,,
J-9,Throffdon,,,At least 1,,,,
J-9,Tzarib Mestani,,,,,,,
J-10,Khadaji Singularity Corridan,,,,,,,
J-10,Kokash Kokash,,,,,,,
J-10,"Marais, The Hatawa",,,,,,,
J-10,Morath Nebula Hatawa,,,,,,,
J-10,Phracas,,,,,,,
J-10,Pollillus Vannell,,,,,,,
J-10,Praxlis Praxlis,,,,,,,
J-10,Stovax,,,,,,,
J-10,Vobes,,,,,,,
J-12,Cartusio,,,,,,,
J-12,Dowut,,Galactic Republic,3,,,Frigid,Frozen plains Tundras
J-12,Inysh,,Galactic Empire,,,At least a few thousand,,
J-12,Nathas Questal,,,,,,,
J-12,Osssorck Nebulae,,,,,,,
J-12,Questal Questal,,,,,,,
J-12,Rakaa,,,,,,,
J-12,Zemiah's Den,,,,,,,
J-12,Frisal,Atrisian CW,,,,,,
J-12,Kiliea,Atrisian CW,,,,,,
J-12,Kitel Phard,Atrisian CW,,,,,,
J-13,Argavat,,Galactic Empire,,,,Arid,Deserts Plateaus
J-13,Aur,,,,,,,
J-13,Basath,,,,,,,Ice
J-13,Candoria,,,,,Modern: None,,
J-13,Chorra Bamula,,,,,,,
J-13,Choss,,,,,,,Urban Forest
J-13,Dahrtag,,Galactic Republic Galactic Empire,,,,Temperate,Perpetual mist
J-13,Dawinia Hynestian,,,,,,,
J-13,Deymasoll,,,,,,,
J-13,Donadus Bamula,,,,,,,
J-13,Gandrun,,,,,,,
J-13,Hjaff,,,,,,Arid,Deserts
J-13,Hynestia Hynestian,,,,,,,
J-13,Ladro,,Alliance to Restore the Republic,,,,,
J-13,Mephitis,,,,,,,
J-13,Mindabaal Faultheen,,,,,,,
J-13,Noctu,,,One,Several,,,
J-13,Ord Sabaok,,Galactic Republic,,,,,
J-13,Permondiri,,,,,,,
J-13,Perthrillia,,,,,,,
J-13,Phu,,,,,,,
J-13,Protobranch,,Galactic Republic,1,,,,
J-13,Rikadi,,,,,,,
J-13,Rutal,,,,,,,
J-13,Shotem,,Jedi Order,,,,,
